column,description,dtype
pre_knee_right_abd_mean_deg,Pre-strike knee joint angle descriptor (deg). mean of right abd axis,float64
pre_knee_right_abd_rom_deg,Pre-strike knee joint angle descriptor (deg). range of motion of right abd axis,float64
pre_knee_right_rot_mean_deg,Pre-strike knee joint angle descriptor (deg). mean of right rot axis,float64
pre_knee_right_rot_rom_deg,Pre-strike knee joint angle descriptor (deg). range of motion of right rot axis,float64
pre_knee_left_flx_mean_deg,Pre-strike knee joint angle descriptor (deg). mean of left flx axis,float64
pre_knee_left_flx_rom_deg,Pre-strike knee joint angle descriptor (deg). range of motion of left flx axis,float64
pre_knee_left_abd_mean_deg,Pre-strike knee joint angle descriptor (deg). mean of left abd axis,float64
pre_knee_left_abd_rom_deg,Pre-strike knee joint angle descriptor (deg). range of motion of left abd axis,float64
pre_knee_left_rot_mean_deg,Pre-strike knee joint angle descriptor (deg). mean of left rot axis,float64
pre_knee_left_rot_rom_deg,Pre-strike knee joint angle descriptor (deg). range of motion of left rot axis,float64
pre_ankle_right_flx_mean_deg,Pre-strike ankle joint angle descriptor (deg). mean of right flx axis,float64
pre_ankle_right_flx_rom_deg,Pre-strike ankle joint angle descriptor (deg). range of motion of right flx axis,float64
pre_ankle_right_abd_mean_deg,Pre-strike ankle joint angle descriptor (deg). mean of right abd axis,float64
pre_ankle_right_abd_rom_deg,Pre-strike ankle joint angle descriptor (deg). range of motion of right abd axis,float64
pre_ankle_right_rot_mean_deg,Pre-strike ankle joint angle descriptor (deg). mean of right rot axis,float64
pre_ankle_right_rot_rom_deg,Pre-strike ankle joint angle descriptor (deg). range of motion of right rot axis,float64
pre_ankle_left_flx_mean_deg,Pre-strike ankle joint angle descriptor (deg). mean of left flx axis,float64
pre_ankle_left_flx_rom_deg,Pre-strike ankle joint angle descriptor (deg). range of motion of left flx axis,float64
pre_ankle_left_abd_mean_deg,Pre-strike ankle joint angle descriptor (deg). mean of left abd axis,float64
pre_ankle_left_abd_rom_deg,Pre-strike ankle joint angle descriptor (deg). range of motion of left abd axis,float64
pre_ankle_left_rot_mean_deg,Pre-strike ankle joint angle descriptor (deg). mean of left rot axis,float64
pre_ankle_left_rot_rom_deg,Pre-strike ankle joint angle descriptor (deg). range of motion of left rot axis,float64
pre_shoulder_right_flx_mean_deg,Pre-strike shoulder joint angle descriptor (deg). mean of right flx axis,float64
pre_shoulder_right_flx_rom_deg,Pre-strike shoulder joint angle descriptor (deg). range of motion of right flx axis,float64
pre_shoulder_right_abd_mean_deg,Pre-strike shoulder joint angle descriptor (deg). mean of right abd axis,float64
pre_shoulder_right_abd_rom_deg,Pre-strike shoulder joint angle descriptor (deg). range of motion of right abd axis,float64
pre_shoulder_right_rot_mean_deg,Pre-strike shoulder joint angle descriptor (deg). mean of right rot axis,float64
pre_shoulder_right_rot_rom_deg,Pre-strike shoulder joint angle descriptor (deg). range of motion of right rot axis,float64
pre_shoulder_left_flx_mean_deg,Pre-strike shoulder joint angle descriptor (deg). mean of left flx axis,float64
pre_shoulder_left_flx_rom_deg,Pre-strike shoulder joint angle descriptor (deg). range of motion of left flx axis,float64
pre_shoulder_left_abd_mean_deg,Pre-strike shoulder joint angle descriptor (deg). mean of left abd axis,float64
pre_shoulder_left_abd_rom_deg,Pre-strike shoulder joint angle descriptor (deg). range of motion of left abd axis,float64
pre_shoulder_left_rot_mean_deg,Pre-strike shoulder joint angle descriptor (deg). mean of left rot axis,float64
pre_shoulder_left_rot_rom_deg,Pre-strike shoulder joint angle descriptor (deg). range of motion of left rot axis,float64
pre_elbow_right_flx_mean_deg,Pre-strike elbow joint angle descriptor (deg). mean of right flx axis,float64
pre_elbow_right_flx_rom_deg,Pre-strike elbow joint angle descriptor (deg). range of motion of right flx axis,float64
pre_elbow_right_abd_mean_deg,Pre-strike elbow joint angle descriptor (deg). mean of right abd axis,float64
pre_elbow_right_abd_rom_deg,Pre-strike elbow joint angle descriptor (deg). range of motion of right abd axis,float64
pre_elbow_right_rot_mean_deg,Pre-strike elbow joint angle descriptor (deg). mean of right rot axis,float64
pre_elbow_right_rot_rom_deg,Pre-strike elbow joint angle descriptor (deg). range of motion of right rot axis,float64
pre_elbow_left_flx_mean_deg,Pre-strike elbow joint angle descriptor (deg). mean of left flx axis,float64
pre_elbow_left_flx_rom_deg,Pre-strike elbow joint angle descriptor (deg). range of motion of left flx axis,float64
pre_elbow_left_abd_mean_deg,Pre-strike elbow joint angle descriptor (deg). mean of left abd axis,float64
pre_elbow_left_abd_rom_deg,Pre-strike elbow joint angle descriptor (deg). range of motion of left abd axis,float64
pre_elbow_left_rot_mean_deg,Pre-strike elbow joint angle descriptor (deg). mean of left rot axis,float64
pre_elbow_left_rot_rom_deg,Pre-strike elbow joint angle descriptor (deg). range of motion of left rot axis,float64
pre_pelvis_world_flx_mean_deg,Pre-strike pelvis-world Cardan angle descriptor (deg). mean of  flx axis,float64
pre_pelvis_world_flx_rom_deg,Pre-strike pelvis-world Cardan angle descriptor (deg). range of motion of  flx axis,float64
pre_pelvis_world_abd_mean_deg,Pre-strike pelvis-world Cardan angle descriptor (deg). mean of  abd axis,float64
pre_pelvis_world_abd_rom_deg,Pre-strike pelvis-world Cardan angle descriptor (deg). range of motion of  abd axis,float64
pre_pelvis_world_rot_mean_deg,Pre-strike pelvis-world Cardan angle descriptor (deg). mean of  rot axis,float64
pre_pelvis_world_rot_rom_deg,Pre-strike pelvis-world Cardan angle descriptor (deg). range of motion of  rot axis,float64
pre_trunk_flx_mean_deg,Pre-strike trunk-vs-pelvis Cardan angle descriptor (deg). mean of flx axis,float64
pre_trunk_flx_rom_deg,Pre-strike trunk-vs-pelvis Cardan angle descriptor (deg). range of motion of flx axis,float64
pre_trunk_abd_mean_deg,Pre-strike trunk-vs-pelvis Cardan angle descriptor (deg). mean of abd axis,float64
pre_trunk_abd_rom_deg,Pre-strike trunk-vs-pelvis Cardan angle descriptor (deg). range of motion of abd axis,float64
pre_trunk_rot_mean_deg,Pre-strike trunk-vs-pelvis Cardan angle descriptor (deg). mean of rot axis,float64
pre_trunk_rot_rom_deg,Pre-strike trunk-vs-pelvis Cardan angle descriptor (deg). range of motion of rot axis,float64
post_hip_right_flx_mean_deg,Post-strike hip joint angle descriptor (deg). mean of right flx axis,float64
post_hip_right_flx_rom_deg,Post-strike hip joint angle descriptor (deg). range of motion of right flx axis,float64
post_hip_right_abd_mean_deg,Post-strike hip joint angle descriptor (deg). mean of right abd axis,float64
post_hip_right_abd_rom_deg,Post-strike hip joint angle descriptor (deg). range of motion of right abd axis,float64
post_hip_right_rot_mean_deg,Post-strike hip joint angle descriptor (deg). mean of right rot axis,float64
post_hip_right_rot_rom_deg,Post-strike hip joint angle descriptor (deg). range of motion of right rot axis,float64
post_hip_left_flx_mean_deg,Post-strike hip joint angle descriptor (deg). mean of left flx axis,float64
post_hip_left_flx_rom_deg,Post-strike hip joint angle descriptor (deg). range of motion of left flx axis,float64
post_hip_left_abd_mean_deg,Post-strike hip joint angle descriptor (deg). mean of left abd axis,float64
post_hip_left_abd_rom_deg,Post-strike hip joint angle descriptor (deg). range of motion of left abd axis,float64
post_hip_left_rot_mean_deg,Post-strike hip joint angle descriptor (deg). mean of left rot axis,float64
post_hip_left_rot_rom_deg,Post-strike hip joint angle descriptor (deg). range of motion of left rot axis,float64
post_knee_right_flx_mean_deg,Post-strike knee joint angle descriptor (deg). mean of right flx axis,float64
post_knee_right_flx_rom_deg,Post-strike knee joint angle descriptor (deg). range of motion of right flx axis,float64
post_knee_right_abd_mean_deg,Post-strike knee joint angle descriptor (deg). mean of right abd axis,float64
post_knee_right_abd_rom_deg,Post-strike knee joint angle descriptor (deg). range of motion of right abd axis,float64
post_knee_right_rot_mean_deg,Post-strike knee joint angle descriptor (deg). mean of right rot axis,float64
post_knee_right_rot_rom_deg,Post-strike knee joint angle descriptor (deg). range of motion of right rot axis,float64
post_knee_left_flx_mean_deg,Post-strike knee joint angle descriptor (deg). mean of left flx axis,float64
post_knee_left_flx_rom_deg,Post-strike knee joint angle descriptor (deg). range of motion of left flx axis,float64
post_knee_left_abd_mean_deg,Post-strike knee joint angle descriptor (deg). mean of left abd axis,float64
post_knee_left_abd_rom_deg,Post-strike knee joint angle descriptor (deg). range of motion of left abd axis,float64
post_knee_left_rot_mean_deg,Post-strike knee joint angle descriptor (deg). mean of left rot axis,float64
post_knee_left_rot_rom_deg,Post-strike knee joint angle descriptor (deg). range of motion of left rot axis,float64
post_ankle_right_flx_mean_deg,Post-strike ankle joint angle descriptor (deg). mean of right flx axis,float64
post_ankle_right_flx_rom_deg,Post-strike ankle joint angle descriptor (deg). range of motion of right flx axis,float64
post_ankle_right_abd_mean_deg,Post-strike ankle joint angle descriptor (deg). mean of right abd axis,float64
post_ankle_right_abd_rom_deg,Post-strike ankle joint angle descriptor (deg). range of motion of right abd axis,float64
post_ankle_right_rot_mean_deg,Post-strike ankle joint angle descriptor (deg). mean of right rot axis,float64
post_ankle_right_rot_rom_deg,Post-strike ankle joint angle descriptor (deg). range of motion of right rot axis,float64
post_ankle_left_flx_mean_deg,Post-strike ankle joint angle descriptor (deg). mean of left flx axis,float64
post_ankle_left_flx_rom_deg,Post-strike ankle joint angle descriptor (deg). range of motion of left flx axis,float64
post_ankle_left_abd_mean_deg,Post-strike ankle joint angle descriptor (deg). mean of left abd axis,float64
post_ankle_left_abd_rom_deg,Post-strike ankle joint angle descriptor (deg). range of motion of left abd axis,float64
post_ankle_left_rot_mean_deg,Post-strike ankle joint angle descriptor (deg). mean of left rot axis,float64
post_ankle_left_rot_rom_deg,Post-strike ankle joint angle descriptor (deg). range of motion of left rot axis,float64
post_shoulder_right_flx_mean_deg,Post-strike shoulder joint angle descriptor (deg). mean of right flx axis,float64
post_shoulder_right_flx_rom_deg,Post-strike shoulder joint angle descriptor (deg). range of motion of right flx axis,float64
post_shoulder_right_abd_mean_deg,Post-strike shoulder joint angle descriptor (deg). mean of right abd axis,float64
post_shoulder_right_abd_rom_deg,Post-strike shoulder joint angle descriptor (deg). range of motion of right abd axis,float64
post_shoulder_right_rot_mean_deg,Post-strike shoulder joint angle descriptor (deg). mean of right rot axis,float64
post_shoulder_right_rot_rom_deg,Post-strike shoulder joint angle descriptor (deg). range of motion of right rot axis,float64
post_shoulder_left_flx_mean_deg,Post-strike shoulder joint angle descriptor (deg). mean of left flx axis,float64
post_shoulder_left_flx_rom_deg,Post-strike shoulder joint angle descriptor (deg). range of motion of left flx axis,float64
post_shoulder_left_abd_mean_deg,Post-strike shoulder joint angle descriptor (deg). mean of left abd axis,float64
post_shoulder_left_abd_rom_deg,Post-strike shoulder joint angle descriptor (deg). range of motion of left abd axis,float64
post_shoulder_left_rot_mean_deg,Post-strike shoulder joint angle descriptor (deg). mean of left rot axis,float64
post_shoulder_left_rot_rom_deg,Post-strike shoulder joint angle descriptor (deg). range of motion of left rot axis,float64
post_elbow_right_flx_mean_deg,Post-strike elbow joint angle descriptor (deg). mean of right flx axis,float64
post_elbow_right_flx_rom_deg,Post-strike elbow joint angle descriptor (deg). range of motion of right flx axis,float64
post_elbow_right_abd_mean_deg,Post-strike elbow joint angle descriptor (deg). mean of right abd axis,float64
post_elbow_right_abd_rom_deg,Post-strike elbow joint angle descriptor (deg). range of motion of right abd axis,float64
post_elbow_right_rot_mean_deg,Post-strike elbow joint angle descriptor (deg). mean of right rot axis,float64
post_elbow_right_rot_rom_deg,Post-strike elbow joint angle descriptor (deg). range of motion of right rot axis,float64
post_elbow_left_flx_mean_deg,Post-strike elbow joint angle descriptor (deg). mean of left flx axis,float64
post_elbow_left_flx_rom_deg,Post-strike elbow joint angle descriptor (deg). range of motion of left flx axis,float64
post_elbow_left_abd_mean_deg,Post-strike elbow joint angle descriptor (deg). mean of left abd axis,float64
post_elbow_left_abd_rom_deg,Post-strike elbow joint angle descriptor (deg). range of motion of left abd axis,float64
post_elbow_left_rot_mean_deg,Post-strike elbow joint angle descriptor (deg). mean of left rot axis,float64
post_elbow_left_rot_rom_deg,Post-strike elbow joint angle descriptor (deg). range of motion of left rot axis,float64
post_pelvis_world_flx_mean_deg,Post-strike pelvis-world Cardan angle descriptor (deg). mean of  flx axis,float64
post_pelvis_world_flx_rom_deg,Post-strike pelvis-world Cardan angle descriptor (deg). range of motion of  flx axis,float64
post_pelvis_world_abd_mean_deg,Post-strike pelvis-world Cardan angle descriptor (deg). mean of  abd axis,float64
post_pelvis_world_abd_rom_deg,Post-strike pelvis-world Cardan angle descriptor (deg). range of motion of  abd axis,float64
post_pelvis_world_rot_mean_deg,Post-strike pelvis-world Cardan angle descriptor (deg). mean of  rot axis,float64
post_pelvis_world_rot_rom_deg,Post-strike pelvis-world Cardan angle descriptor (deg). range of motion of  rot axis,float64
post_trunk_flx_mean_deg,Post-strike trunk-vs-pelvis Cardan angle descriptor (deg). mean of flx axis,float64
post_trunk_flx_rom_deg,Post-strike trunk-vs-pelvis Cardan angle descriptor (deg). range of motion of flx axis,float64
post_trunk_abd_mean_deg,Post-strike trunk-vs-pelvis Cardan angle descriptor (deg). mean of abd axis,float64
post_trunk_abd_rom_deg,Post-strike trunk-vs-pelvis Cardan angle descriptor (deg). range of motion of abd axis,float64
post_trunk_rot_mean_deg,Post-strike trunk-vs-pelvis Cardan angle descriptor (deg). mean of rot axis,float64
post_trunk_rot_rom_deg,Post-strike trunk-vs-pelvis Cardan angle descriptor (deg). range of motion of rot axis,float64
v3d_com_offset_norm_mm,Cross-pipeline validation against Visual3D. com offset norm mm,float64
bos_width_ml_cm,Base-of-support descriptor (from Visual3D foot landmarks). width ml cm,float64
bos_depth_ap_cm,Base-of-support descriptor (from Visual3D foot landmarks). depth ap cm,float64
bos_area_cm2,Base-of-support descriptor (from Visual3D foot landmarks). area cm2,float64
bos_centroid_x,Base-of-support descriptor (from Visual3D foot landmarks). centroid x,float64
bos_centroid_y,Base-of-support descriptor (from Visual3D foot landmarks). centroid y,float64
strike_hand,Detected gyaku-tsuki strike event. hand,str
strike_peak_speed_mps,Detected gyaku-tsuki strike event. peak speed mps,float64
strike_peak_time_s,Detected gyaku-tsuki strike event. peak time s,float64
strike_onset_time_s,Detected gyaku-tsuki strike event. onset time s,float64
strike_return_time_s,Detected gyaku-tsuki strike event. return time s,float64
com_height_norm_by_height,Pre-strike mean COM Z divided by participant height (dimensionless).,float64
bos_area_norm_by_height_sq_pct,BoS area as percentage of (participant height)^2.,float64
bos_width_norm_by_height_pct,BoS mediolateral width as percentage of participant height.,float64
bos_depth_norm_by_height_pct,BoS anteroposterior depth as percentage of participant height.,float64
strike_peak_speed_norm_by_height_sqrt,Strike peak speed (m/s) divided by sqrt(height in m).,float64
